raw_id,item_name,item_cost,item_style,item_room_type,item_indoor_outdoor,material_sustainability_score,climate_suitability,user_budget,user_preferred_style,user_preferred_room_type,user_indoor_outdoor,user_climate_type
27,Reclaimed Wood Coffee Table,166,Rustic,Kitchen,Indoor,6,Humid,255,Rustic,Bathroom,Indoor,Humid
28,Low-Impact Wool Carpet,264,Modern,Bedroom,Indoor,6,Dry,390,Rustic,Bedroom,Indoor,Dry
29,Low-Energy LED Skylight Covers,79,Modern,Living Room,Indoor,9,Cold,111,Traditional,Patio,Outdoor,Dry
30,Recycled glass tile backsplashes,27,Modern,Bathroom,Indoor,7,Humid,58,Traditional,Bedroom,Indoor,Humid
31,Reclaimed bamboo flooring planks,8,Traditional,Garden,Outdoor,9,Cold,58,Modern,Living Room,Indoor,Cold
32,Recycled Plastic Decking Boards,73,Modern,Patio,Outdoor,7,Humid,86,Modern,Bedroom,Indoor,Humid
33,Upcycled glass backsplash tiles,35,Rustic,Bathroom,Indoor,3,Dry,98,Rustic,Bedroom,Indoor,Humid
34,Wool Pellet Fireplace Insulation,32,Traditional,Garden,Outdoor,6,Humid,55,Modern,Living Room,Indoor,Humid
35,Recycled Denim Insulation Rolls,48,Modern,Kitchen,Indoor,7,Humid,117,Traditional,Kitchen,Indoor,Humid
36,Reclaimed wood wall paneling,54,Rustic,Garden,Outdoor,9,Humid,122,Rustic,Bedroom,Indoor,Dry
37,Low-VOC interior paint,22,Modern,Bathroom,Indoor,6,Humid,57,Rustic,Living Room,Indoor,Dry
38,Salvaged Wood Wall Paneling,52,Rustic,Bathroom,Indoor,8,Dry,89,Modern,Garden,Outdoor,Humid
39,Eco-friendly cork tiles,24,Rustic,Bathroom,Indoor,4,Dry,55,Modern,Dining Room,Indoor,Dry
40,Eco-friendly LED wall panels,48,Modern,Garden,Outdoor,10,Humid,82,Traditional,Living Room,Indoor,Humid
41,Eco-friendly cork tiles,21,Traditional,Bathroom,Indoor,6,Cold,51,Traditional,Kitchen,Indoor,Humid
42,Biophilic green wall planters,29,Modern,Dining Room,Indoor,7,Humid,52,Modern,Living Room,Indoor,Cold
43,Bamboo composite countertops,34,Modern,Bathroom,Indoor,10,Cold,114,Rustic,Bathroom,Indoor,Cold
44,Solar Hot Water Panels,54,Traditional,Bathroom,Indoor,4,Cold,147,Modern,Bathroom,Indoor,Humid
45,Reclaimed Metal Roof Tiles,56,Modern,Patio,Outdoor,8,Humid,82,Modern,Kitchen,Indoor,Cold
46,Solar-Powered Garden Lights,18,Modern,Garden,Outdoor,5,Cold,51,Traditional,Kitchen,Indoor,Cold
47,Sustainable Jute Area Rugs,22,Traditional,Living Room,Indoor,7,Humid,73,Modern,Bathroom,Indoor,Humid
48,Solar-Powered Outdoor Lights,48,Modern,Garden,Outdoor,4,Cold,58,Modern,Garden,Outdoor,Dry
49,Reclaimed Brick Tiles,60,Traditional,Bathroom,Indoor,7,Cold,130,Modern,Garden,Outdoor,Cold
50,Solar-powered attic ventilation fan,83,Traditional,Bathroom,Indoor,7,Dry,181,Modern,Kitchen,Indoor,Dry
51,Plant-based biodegradable adhesives,29,Traditional,Dining Room,Indoor,4,Humid,50,Traditional,Dining Room,Indoor,Dry
52,Recycled Glass Bottle Solar Path Lights,132,Modern,Dining Room,Indoor,9,Dry,259,Modern,Garden,Outdoor,Dry
53,Low-VOC paint for interior walls,47,Modern,Bedroom,Indoor,5,Dry,54,Rustic,Garden,Outdoor,Cold
54,LED energy-efficient bulbs,48,Rustic,Kitchen,Indoor,5,Cold,81,Rustic,Living Room,Indoor,Cold
55,LED Solar Roof Vents,40,Rustic,Patio,Outdoor,7,Humid,57,Traditional,Kitchen,Indoor,Humid
56,Compostable plant-based flooring,16,Modern,Bathroom,Indoor,7,Dry,53,Modern,Kitchen,Indoor,Cold
57,Eco-Friendly Wool Carpet,289,Traditional,Bedroom,Indoor,6,Humid,747,Modern,Dining Room,Indoor,Humid
58,Plant-Based Bio-Polymer Countertops,18,Traditional,Bathroom,Indoor,10,Humid,57,Modern,Living Room,Indoor,Humid
59,Organic Hemp Wall Paint,389,Rustic,Kitchen,Indoor,8,Cold,691,Traditional,Garden,Outdoor,Dry
60,Naturally Dyed Hemp Curtains,107,Rustic,Bedroom,Indoor,7,Humid,220,Rustic,Bedroom,Indoor,Dry
61,"Non-toxic, biodegradable floor finish",24,Modern,Patio,Outdoor,7,Humid,58,Traditional,Kitchen,Indoor,Humid
62,Hempcrete Wall Insulation Blocks,48,Modern,Bathroom,Indoor,8,Cold,52,Traditional,Bathroom,Indoor,Humid
63,Reusable Cork Wall Panels,59,Rustic,Bedroom,Indoor,5,Cold,81,Modern,Bedroom,Indoor,Humid
64,Organic wool insulation panels,49,Rustic,Patio,Outdoor,10,Cold,67,Traditional,Dining Room,Indoor,Cold
65,Cork and Recycled Rubber Door Mats,75,Traditional,Bedroom,Indoor,7,Humid,85,Traditional,Kitchen,Indoor,Humid
66,Recycled Glass Bottle Wall Art,60,Modern,Dining Room,Indoor,7,Cold,207,Modern,Bedroom,Indoor,Humid
67,Handmade recycled glass mosaic tiles,37,Modern,Bathroom,Indoor,6,Cold,94,Modern,Bathroom,Indoor,Humid
68,Biodegradable wall panels made from agricultural byproducts,50,Rustic,Bedroom,Indoor,5,Dry,71,Traditional,Bedroom,Indoor,Humid
69,Reclaimed Wood Water Collection Stand,142,Rustic,Kitchen,Indoor,7,Humid,387,Modern,Kitchen,Indoor,Dry
70,Bamboo Fiber Wall Panels,37,Traditional,Living Room,Indoor,10,Cold,60,Modern,Patio,Outdoor,Humid
71,Upcycled glass backsplash tiles,35,Rustic,Bathroom,Indoor,5,Humid,112,Modern,Living Room,Indoor,Dry
72,Plant-based Adhesives,19,Rustic,Garden,Outdoor,7,Dry,50,Rustic,Kitchen,Indoor,Humid
73,Biodegradable paint made from natural pigments,29,Rustic,Bathroom,Indoor,6,Cold,57,Rustic,Patio,Outdoor,Cold
74,Upcycled Steel Roofing Sheets,27,Traditional,Patio,Outdoor,10,Dry,52,Rustic,Dining Room,Indoor,Dry
75,Organic clay paint,28,Traditional,Bathroom,Indoor,5,Cold,59,Modern,Patio,Outdoor,Dry
76,Low-Energy LED Bulb Set,115,Rustic,Bedroom,Indoor,6,Humid,210,Rustic,Living Room,Indoor,Dry
77,Reused Steel Roofing Sheets,57,Modern,Garden,Outdoor,7,Cold,155,Modern,Living Room,Indoor,Dry
78,Recycled glass tile backsplash,38,Modern,Kitchen,Indoor,6,Cold,87,Rustic,Dining Room,Indoor,Cold
79,Low-VOC Interior Paints,36,Rustic,Bathroom,Indoor,9,Cold,54,Rustic,Bathroom,Indoor,Humid
80,Salvaged Steel Roofing Sheets,45,Modern,Patio,Outdoor,8,Dry,59,Modern,Living Room,Indoor,Cold
81,Plant-based concrete sealant,44,Modern,Dining Room,Indoor,8,Humid,98,Rustic,Garden,Outdoor,Cold
82,Wool Carpet Runners,172,Rustic,Dining Room,Indoor,8,Humid,465,Rustic,Living Room,Indoor,Humid
83,Recycled steel drawer pulls,50,Modern,Bedroom,Indoor,5,Humid,95,Modern,Bedroom,Indoor,Humid
84,Low-VOC Non-Toxic Paints,35,Traditional,Living Room,Indoor,9,Dry,58,Modern,Bedroom,Indoor,Dry
85,Cork wall panels,49,Traditional,Bathroom,Indoor,7,Humid,67,Modern,Bathroom,Indoor,Dry
86,Cork Flooring Rolls,50,Traditional,Dining Room,Indoor,7,Cold,185,Modern,Living Room,Indoor,Dry
87,Cork underlayment for insulation,54,Rustic,Bathroom,Indoor,6,Dry,109,Traditional,Bedroom,Indoor,Cold
88,Vintage Upcycled Door Handles,142,Modern,Bedroom,Indoor,8,Dry,334,Modern,Bedroom,Indoor,Humid
89,Recycled glass backsplash tiles,22,Modern,Bathroom,Indoor,7,Dry,81,Traditional,Living Room,Indoor,Dry
90,Eco-friendly Lime Paints,26,Modern,Bathroom,Indoor,6,Dry,54,Rustic,Kitchen,Indoor,Humid
91,Upcycled Metal Lighting Fixtures,49,Traditional,Garden,Outdoor,8,Cold,146,Modern,Kitchen,Indoor,Dry
92,Recycled Metal Roof Sheeting,36,Traditional,Patio,Outdoor,5,Humid,55,Modern,Kitchen,Indoor,Humid
93,Recycled Denim Wall Insulation,16,Traditional,Bathroom,Indoor,6,Cold,60,Modern,Kitchen,Indoor,Humid
94,Low-VOC Paints for Walls,19,Modern,Bedroom,Indoor,8,Humid,55,Traditional,Dining Room,Indoor,Humid
95,Eco-Friendly LED Light Bulbs,42,Modern,Garden,Outdoor,7,Cold,127,Traditional,Patio,Outdoor,Dry
96,Eco-Friendly Paint with Natural Pigments,33,Modern,Bedroom,Indoor,7,Cold,88,Modern,Patio,Outdoor,Humid
97,Sustainable Bamboo Thermal Curtains,8,Modern,Bedroom,Indoor,5,Cold,53,Modern,Living Room,Indoor,Humid
98,Plant-Based Eco-Concrete,46,Modern,Bedroom,Indoor,5,Humid,139,Modern,Garden,Outdoor,Dry
99,Recycled Metal Roof Shingles,30,Modern,Patio,Outdoor,6,Humid,65,Modern,Patio,Outdoor,Dry
100,Solar-Powered Motion-Activated Garden Lights,19,Traditional,Patio,Outdoor,7,Humid,60,Traditional,Garden,Outdoor,Cold
101,Eco-friendly Wool Insulation,59,Modern,Bedroom,Indoor,7,Dry,66,Traditional,Bedroom,Indoor,Cold
102,Recycled Metal Rainwater Storage Tank,135,Traditional,Kitchen,Indoor,10,Humid,144,Traditional,Bathroom,Indoor,Cold
103,Natural latex mattresses,225,Modern,Bedroom,Indoor,6,Cold,358,Modern,Living Room,Indoor,Dry
104,Solar-powered LED lighting fixtures,43,Modern,Bedroom,Indoor,7,Humid,50,Modern,Kitchen,Indoor,Cold
105,Solar-Powered Outdoor Lanterns,138,Modern,Garden,Outdoor,4,Cold,262,Traditional,Living Room,Indoor,Cold
106,Organic Wool Insulation Panels,44,Traditional,Living Room,Indoor,7,Humid,60,Traditional,Dining Room,Indoor,Cold
107,Low-VOC Interior Wall Paints,48,Rustic,Bathroom,Indoor,7,Dry,74,Modern,Bedroom,Indoor,Humid
108,Solar-powered rainwater harvesting system,30,Modern,Garden,Outdoor,7,Humid,53,Modern,Bathroom,Indoor,Dry
109,Recycled Plastic Deck Tiles,51,Modern,Bathroom,Indoor,7,Dry,60,Rustic,Living Room,Indoor,Dry
110,Recycled plastic water barrels,24,Modern,Garden,Outdoor,8,Cold,60,Modern,Garden,Outdoor,Cold
111,Upcycled wood shelf units,71,Rustic,Kitchen,Indoor,9,Dry,226,Traditional,Dining Room,Indoor,Humid
112,Solar Water Heating System,81,Modern,Dining Room,Indoor,10,Humid,124,Modern,Bedroom,Indoor,Humid
113,Biodegradable Plant Pots,6,Rustic,Bathroom,Indoor,7,Dry,60,Modern,Bathroom,Indoor,Humid
114,Reclaimed Wooden Pallets for Garden Pathways,14,Modern,Patio,Outdoor,10,Dry,57,Modern,Patio,Outdoor,Humid
115,Castor Oil-Based Wood Finish,23,Modern,Patio,Outdoor,9,Humid,52,Rustic,Living Room,Indoor,Dry
116,Salvaged Oak Cabinetry,54,Traditional,Bathroom,Indoor,9,Humid,63,Rustic,Patio,Outdoor,Cold
117,Low-VOC paint for interior walls,49,Modern,Kitchen,Indoor,9,Cold,110,Modern,Kitchen,Indoor,Cold
118,Wool Eco-Curtains,136,Modern,Living Room,Indoor,8,Cold,424,Traditional,Living Room,Indoor,Cold
119,Compostable cork flooring,21,Modern,Garden,Outdoor,8,Humid,52,Traditional,Garden,Outdoor,Humid
120,Reused brick garden edging,24,Modern,Garden,Outdoor,9,Cold,58,Modern,Bathroom,Indoor,Humid
121,Eco-friendly Cork Wall Tiles,44,Modern,Bedroom,Indoor,9,Humid,51,Traditional,Garden,Outdoor,Humid
122,Natural fiber insulation rolls,52,Traditional,Bedroom,Indoor,8,Cold,53,Rustic,Kitchen,Indoor,Humid
123,Compressed Earth Block Bricks,59,Modern,Dining Room,Indoor,6,Humid,167,Modern,Living Room,Indoor,Dry
124,Reclaimed wood kitchen countertops,31,Rustic,Bathroom,Indoor,9,Dry,53,Rustic,Patio,Outdoor,Humid
125,Low-VOC paint for interiors,45,Rustic,Bedroom,Indoor,7,Dry,81,Traditional,Bedroom,Indoor,Dry
126,Cork Underlayment for Soundproofing,18,Rustic,Patio,Outdoor,8,Dry,56,Traditional,Garden,Outdoor,Humid
127,Eco-Friendly Clay Paint,46,Modern,Living Room,Indoor,7,Cold,54,Modern,Garden,Outdoor,Dry
128,Organic hemp insulation panels,28,Traditional,Garden,Outdoor,6,Humid,56,Modern,Patio,Outdoor,Dry
129,Recycled steel cabinet handles,17,Rustic,Kitchen,Indoor,8,Dry,56,Traditional,Kitchen,Indoor,Dry
130,Sustainable Cork Stools,38,Rustic,Patio,Outdoor,8,Humid,74,Traditional,Bedroom,Indoor,Humid
131,Solar-powered LED pathway lights,50,Rustic,Garden,Outdoor,7,Cold,105,Rustic,Living Room,Indoor,Dry
132,Natural Clay Paints for Walls,15,Rustic,Bathroom,Indoor,6,Dry,59,Modern,Patio,Outdoor,Cold
133,Organic hemp rug,390,Modern,Living Room,Indoor,9,Dry,410,Modern,Bedroom,Indoor,Humid
134,Linen Hemp Curtains,165,Modern,Bedroom,Indoor,6,Humid,217,Rustic,Kitchen,Indoor,Humid
135,Recycled Bamboo Flooring Planks,26,Traditional,Dining Room,Indoor,10,Cold,53,Modern,Bathroom,Indoor,Humid
136,Organic Hemp Wall Insulation,35,Rustic,Bathroom,Indoor,5,Humid,52,Modern,Patio,Outdoor,Dry
137,Upcycled wooden pallet furniture,93,Modern,Patio,Outdoor,6,Cold,158,Modern,Living Room,Indoor,Cold
138,Organic wool insulation,29,Modern,Kitchen,Indoor,6,Cold,57,Modern,Bedroom,Indoor,Humid
139,Recycled Denim Wall Panels,36,Modern,Kitchen,Indoor,9,Humid,104,Rustic,Patio,Outdoor,Cold
140,Linen Reusable Shopping Bags,161,Rustic,Living Room,Indoor,7,Dry,189,Modern,Garden,Outdoor,Dry
141,Compostable Door Handles,102,Traditional,Dining Room,Indoor,5,Dry,291,Modern,Kitchen,Indoor,Humid
142,Recycled glass light fixtures,69,Modern,Living Room,Indoor,6,Humid,136,Rustic,Kitchen,Indoor,Humid
143,Eco-friendly Hemp Insulation Rolls,64,Traditional,Living Room,Indoor,6,Cold,133,Rustic,Dining Room,Indoor,Cold
144,Recycled Rubber Outdoor Mats,11,Rustic,Patio,Outdoor,8,Humid,54,Modern,Bedroom,Indoor,Humid
145,Solar-Powered LED Lights,76,Rustic,Dining Room,Indoor,10,Humid,177,Traditional,Kitchen,Indoor,Humid
146,Upcycled Glass Solar Lanterns,89,Traditional,Bedroom,Indoor,7,Dry,176,Rustic,Garden,Outdoor,Dry
147,Natural Hemp Area Rugs,315,Modern,Bedroom,Indoor,7,Cold,319,Traditional,Kitchen,Indoor,Humid
148,Bioplastic Plant Pots,28,Modern,Kitchen,Indoor,7,Humid,55,Modern,Living Room,Indoor,Humid
149,Compostable Cork Wall Tiles,10,Modern,Bathroom,Indoor,9,Humid,60,Modern,Bathroom,Indoor,Humid
150,Recycled Content Wall Paint,366,Modern,Bathroom,Indoor,6,Humid,967,Traditional,Dining Room,Indoor,Dry
151,Solar Tube Skylights,109,Modern,Bathroom,Indoor,5,Humid,205,Modern,Dining Room,Indoor,Cold
152,Plant-based Insulation Panels,15,Rustic,Living Room,Indoor,7,Dry,53,Modern,Bedroom,Indoor,Cold
153,Natural Fiber Outdoor Rugs,414,Modern,Garden,Outdoor,8,Humid,1063,Traditional,Dining Room,Indoor,Dry
154,Hempcrete Wall Insulation,49,Modern,Bedroom,Indoor,7,Dry,57,Modern,Bathroom,Indoor,Humid
155,Compostable Biodegradable Window Frames,183,Modern,Patio,Outdoor,9,Humid,267,Rustic,Garden,Outdoor,Dry
156,Biodegradable wall panels,37,Rustic,Living Room,Indoor,8,Cold,56,Rustic,Bedroom,Indoor,Humid
157,Eco-friendly Cork Ceiling Tiles,32,Rustic,Bathroom,Indoor,7,Cold,58,Modern,Bathroom,Indoor,Dry
158,Recycled Denim Wall Panels,40,Rustic,Dining Room,Indoor,6,Cold,56,Modern,Patio,Outdoor,Humid
159,Energy-Efficient LED Bulb String Sets,125,Traditional,Living Room,Indoor,7,Dry,179,Modern,Garden,Outdoor,Cold
160,Reclaimed Wood Wall Panels,60,Traditional,Garden,Outdoor,5,Dry,88,Traditional,Patio,Outdoor,Cold
161,Sustainable Cork Cabinets,25,Modern,Bathroom,Indoor,7,Cold,85,Modern,Living Room,Indoor,Dry
162,Low-VOC paint in natural pigments,48,Traditional,Living Room,Indoor,7,Humid,55,Traditional,Bedroom,Indoor,Cold
163,Cork underlay for flooring,60,Modern,Kitchen,Indoor,8,Dry,135,Rustic,Bathroom,Indoor,Dry
164,Salvaged Glass Door Panels,62,Modern,Bathroom,Indoor,8,Dry,69,Modern,Living Room,Indoor,Dry
165,Upcycled wooden pallet furniture,124,Traditional,Bedroom,Indoor,7,Humid,129,Traditional,Bathroom,Indoor,Humid
166,Recycled aluminum window frames,42,Traditional,Bathroom,Indoor,7,Cold,59,Traditional,Living Room,Indoor,Humid
167,Reclaimed bamboo flooring tiles,25,Modern,Patio,Outdoor,8,Humid,69,Traditional,Bedroom,Indoor,Cold
168,Recycled glass backsplash,105,Modern,Kitchen,Indoor,7,Cold,219,Traditional,Garden,Outdoor,Cold
169,Recycled plastic decking boards,42,Traditional,Patio,Outdoor,4,Dry,76,Rustic,Dining Room,Indoor,Humid
170,Bamboo Reed Wall Panels,29,Modern,Patio,Outdoor,8,Dry,60,Modern,Bedroom,Indoor,Cold
171,Bamboo flooring strips,25,Modern,Bedroom,Indoor,6,Cold,56,Modern,Kitchen,Indoor,Dry
172,Low-Emission LED Light Bulbs,40,Modern,Garden,Outdoor,6,Dry,98,Traditional,Dining Room,Indoor,Humid
173,Recycled Plastic Outdoor Tiles,24,Modern,Patio,Outdoor,5,Humid,56,Traditional,Bedroom,Indoor,Dry
174,Water-Saving Rain Barrels,27,Traditional,Garden,Outdoor,6,Cold,74,Rustic,Patio,Outdoor,Cold
175,Reclaimed Wood Garden Privacy Panels,24,Modern,Garden,Outdoor,8,Humid,53,Traditional,Bedroom,Indoor,Dry
176,Sustainable bamboo cabinetry,67,Modern,Living Room,Indoor,7,Cold,238,Traditional,Living Room,Indoor,Dry
177,Natural Wool Carpet,330,Rustic,Bedroom,Indoor,8,Cold,632,Traditional,Dining Room,Indoor,Humid
178,Upcycled Stone Garden Path Tiles,66,Rustic,Garden,Outdoor,9,Humid,78,Traditional,Kitchen,Indoor,Cold
179,Eco-friendly hemp curtain fabric,21,Rustic,Bedroom,Indoor,7,Cold,54,Traditional,Bathroom,Indoor,Cold
180,Low-Impact Wool Carpet,140,Modern,Bedroom,Indoor,7,Humid,160,Rustic,Kitchen,Indoor,Cold
181,Reclaimed wood ceiling tiles,24,Modern,Kitchen,Indoor,7,Cold,64,Traditional,Patio,Outdoor,Cold
182,Linen Bedding Made from Flax,104,Modern,Bedroom,Indoor,9,Dry,194,Rustic,Bathroom,Indoor,Cold
183,Bamboo insulation panels,41,Modern,Living Room,Indoor,7,Humid,63,Rustic,Patio,Outdoor,Humid
184,Natural latex roofing membranes,29,Rustic,Patio,Outdoor,7,Cold,64,Traditional,Bathroom,Indoor,Humid
185,Low-VOC Paint for Interior Walls,20,Traditional,Bedroom,Indoor,8,Cold,73,Rustic,Dining Room,Indoor,Cold
186,Biodegradable Paints,49,Modern,Living Room,Indoor,7,Cold,50,Modern,Patio,Outdoor,Humid
187,Plant-based biodegradable wall panels,38,Traditional,Kitchen,Indoor,9,Dry,79,Traditional,Garden,Outdoor,Dry
188,Energy-Efficient LED Bulbs,84,Traditional,Dining Room,Indoor,6,Dry,121,Rustic,Bedroom,Indoor,Dry
189,Bamboo Shower Wall Panels,49,Traditional,Bathroom,Indoor,9,Humid,84,Modern,Living Room,Indoor,Cold
190,Organic Bamboo Flooring Tiles,45,Traditional,Bedroom,Indoor,5,Cold,101,Traditional,Bathroom,Indoor,Dry
191,Compostable Plant-Based Cleaning Brushes,438,Traditional,Kitchen,Indoor,8,Cold,601,Traditional,Kitchen,Indoor,Cold
192,Biodegradable Plant-Based Paint,40,Rustic,Kitchen,Indoor,4,Cold,59,Traditional,Bedroom,Indoor,Dry
193,Reusable insulation panels,29,Rustic,Kitchen,Indoor,5,Cold,87,Modern,Dining Room,Indoor,Dry
194,Upcycled metal drawer pulls,98,Modern,Kitchen,Indoor,7,Dry,116,Modern,Bedroom,Indoor,Humid
195,Solar-Powered Motion-Activated Garden Lights,12,Modern,Garden,Outdoor,6,Humid,56,Modern,Kitchen,Indoor,Dry
196,Solar Roof Vent Fans,50,Modern,Bathroom,Indoor,7,Humid,78,Rustic,Garden,Outdoor,Dry
197,Natural latex mattress,447,Modern,Bedroom,Indoor,9,Dry,602,Modern,Patio,Outdoor,Humid
198,Organic Wool Carpet,389,Traditional,Bedroom,Indoor,7,Cold,887,Modern,Bedroom,Indoor,Cold
199,Reclaimed Wood Wall Art Panels,63,Rustic,Bedroom,Indoor,4,Dry,152,Traditional,Dining Room,Indoor,Dry
200,Solar-Powered Garden Fountain,24,Traditional,Garden,Outdoor,7,Humid,59,Traditional,Dining Room,Indoor,Dry
201,Reclaimed Wood Cabinetry,51,Rustic,Bathroom,Indoor,7,Humid,106,Traditional,Bathroom,Indoor,Cold
202,Solar Hot Water Heater,139,Rustic,Bathroom,Indoor,5,Dry,339,Traditional,Bathroom,Indoor,Cold
203,Organic Hemp Rope for Cladding,113,Rustic,Living Room,Indoor,10,Humid,165,Modern,Bathroom,Indoor,Humid
204,Natural wool felt for acoustic insulation,44,Traditional,Bathroom,Indoor,8,Dry,50,Rustic,Bathroom,Indoor,Dry
205,Low VOC adhesive for construction,51,Traditional,Living Room,Indoor,7,Dry,87,Modern,Garden,Outdoor,Dry
206,Reclaimed Glass Solar Window Films,116,Modern,Kitchen,Indoor,10,Dry,182,Modern,Bathroom,Indoor,Dry
207,Vintage upcycled furniture,111,Modern,Kitchen,Indoor,7,Dry,217,Modern,Bedroom,Indoor,Dry
208,Solar-Powered Garden String Lights,13,Modern,Garden,Outdoor,5,Dry,56,Traditional,Kitchen,Indoor,Humid
209,Stone Paper Countertops,54,Traditional,Bathroom,Indoor,7,Cold,188,Rustic,Kitchen,Indoor,Dry
210,Reclaimed Brick Garden Edging,27,Traditional,Garden,Outdoor,7,Cold,59,Traditional,Dining Room,Indoor,Humid
211,Upcycled Wooden Furniture Pieces,39,Modern,Garden,Outdoor,8,Cold,63,Rustic,Bedroom,Indoor,Cold
212,LED solar garden path lights,7,Traditional,Garden,Outdoor,7,Humid,60,Traditional,Kitchen,Indoor,Humid
213,Compostable cellulose insulation,11,Traditional,Living Room,Indoor,7,Cold,53,Modern,Living Room,Indoor,Dry
214,Handmade Recycled Metal Kitchen Backsplash,71,Traditional,Kitchen,Indoor,7,Dry,105,Rustic,Garden,Outdoor,Cold
215,Upcycled Tin Ceiling Tiles,48,Traditional,Kitchen,Indoor,5,Humid,52,Modern,Bedroom,Indoor,Cold
216,Upcycled glass pendant lighting,120,Traditional,Dining Room,Indoor,5,Dry,130,Traditional,Dining Room,Indoor,Cold
217,Biodegradable paint with natural pigments,25,Traditional,Living Room,Indoor,9,Humid,56,Modern,Bedroom,Indoor,Dry
218,Recycled aluminum window frames,90,Rustic,Living Room,Indoor,9,Cold,206,Modern,Living Room,Indoor,Dry
219,Biodegradable paint with natural pigments,19,Modern,Bedroom,Indoor,8,Cold,52,Modern,Living Room,Indoor,Cold
220,Low-Energy LED Light Fixtures,131,Modern,Patio,Outdoor,7,Dry,135,Rustic,Bathroom,Indoor,Humid
221,Aluminum Roof Coating from Recycled Materials,60,Modern,Patio,Outdoor,5,Cold,71,Modern,Bedroom,Indoor,Humid
222,Wildcrafted Wool Insulation,41,Modern,Living Room,Indoor,8,Cold,52,Modern,Bathroom,Indoor,Humid
223,Cork flooring tiles,45,Modern,Living Room,Indoor,6,Dry,61,Traditional,Garden,Outdoor,Humid
224,Upcycled Wooden Coffee Table,356,Modern,Living Room,Indoor,6,Cold,752,Traditional,Bathroom,Indoor,Cold
225,Bamboo Fabric Blackout Curtains,52,Rustic,Bedroom,Indoor,7,Humid,60,Traditional,Dining Room,Indoor,Dry
226,Plant-based exterior paint,34,Modern,Bathroom,Indoor,6,Humid,101,Traditional,Garden,Outdoor,Cold
